,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.09399948120117188,0.018782173224765844,0.0009998798370361329,4.6231077741778654e-07,12,0.35,1,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 1}",0.743142144638404,0.743142144638404,0.743142144638404,0.7428214731585518,0.7428214731585518,0.7430139720558883,0.00015707667173403347,11
1,0.11480050086975098,0.021930476188671257,0.0006002426147460937,0.0008005620966190874,12,0.35,2,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 2}",0.7917705735660848,0.7743142144638404,0.7955112219451371,0.787765293383271,0.7902621722846442,0.7879241516966068,0.007255411646839932,9
2,0.11080107688903809,0.01996492627183969,0.0008026123046875,0.00040132490583847324,12,0.35,3,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 3}",0.770573566084788,0.773067331670823,0.78428927680798,0.7827715355805244,0.8014981273408239,0.782435129740519,0.010910956560659747,10
3,0.13539934158325195,0.04132083012739274,0.000800466537475586,0.00040023538136482826,12,0.35,4,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 4}",0.800498753117207,0.7917705735660848,0.800498753117207,0.787765293383271,0.8102372034956304,0.7981536926147704,0.007816759590314241,8
4,0.1820000648498535,0.05403622892540694,0.0005997657775878906,0.0004897069466492548,12,0.35,5,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 5}",0.816708229426434,0.7880299251870324,0.8117206982543641,0.8077403245942572,0.8426966292134831,0.8133732534930139,0.017591973171798232,7
5,0.12000036239624023,0.0191415356149798,0.000999784469604492,2.431401974483864e-07,12,0.35,6,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 6}",0.8154613466334164,0.7980049875311721,0.8192019950124688,0.8164794007490637,0.8439450686641697,0.8186127744510978,0.014703532087259663,6
6,0.15060024261474608,0.01482624811123011,0.0010004520416259765,6.468133910298604e-07,12,0.35,7,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 7}",0.8241895261845387,0.8067331670822943,0.8366583541147132,0.815230961298377,0.83270911360799,0.8231037924151696,0.01102049496899915,5
7,0.12020153999328613,0.026239771574229975,0.0007997512817382813,0.0003998758398829301,12,0.35,8,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 8}",0.8216957605985037,0.816708229426434,0.8204488778054863,0.8239700374531835,0.8377028714107366,0.8241017964071856,0.007193088407330795,4
8,0.17219924926757812,0.04141224948051732,0.0010008811950683594,8.395584517316346e-07,12,0.35,9,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 9}",0.8216957605985037,0.8266832917705735,0.8254364089775561,0.8064918851435705,0.846441947565543,0.8253493013972056,0.012767503461112013,2
9,0.1752002239227295,0.04577508870763418,0.00039997100830078123,0.0004898624643296147,12,0.35,10,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 10}",0.8266832917705735,0.8104738154613467,0.830423940149626,0.8239700374531835,0.8352059925093633,0.8253493013972056,0.008341682234799652,2
10,0.12140016555786133,0.0453284470380546,0.0007997989654541015,0.0003998998345339569,12,0.35,11,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 11}",0.830423940149626,0.8254364089775561,0.8366583541147132,0.8252184769038702,0.8377028714107366,0.8310878243512974,0.005321489070010712,1
