,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08440675735473632,0.0061235440677801295,0.001196146011352539,0.00039029484049813915,12,0.35,1,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 1}",0.743142144638404,0.743142144638404,0.743142144638404,0.7428214731585518,0.7428214731585518,0.7430139720558883,0.00015707667173403347,11
1,0.1130002498626709,0.03730025015417357,0.0010000705718994141,4.90933901833868e-07,12,0.35,2,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 2}",0.7655860349127181,0.7406483790523691,0.7643391521197007,0.7540574282147315,0.762796504369538,0.7574850299401198,0.009340300135993651,10
2,0.08979983329772949,0.00724970729047189,0.0010000228881835937,4.156969970265077e-07,12,0.35,3,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 3}",0.7481296758104738,0.7718204488778054,0.7630922693266833,0.7777777777777778,0.7815230961298377,0.7684630738522954,0.011924145204471659,9
3,0.12040014266967773,0.018789825608415477,0.0010001182556152344,5.091227651611e-07,12,0.35,4,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 4}",0.7805486284289277,0.7880299251870324,0.7992518703241895,0.7815230961298377,0.7690387016229713,0.7836826347305389,0.009901532182044438,8
4,0.1485990047454834,0.03854187542597624,0.0009998321533203126,2.229436822426025e-06,12,0.35,5,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 5}",0.7805486284289277,0.7955112219451371,0.8042394014962594,0.7865168539325843,0.8102372034956304,0.7954091816367266,0.010933328056936037,5
5,0.15059995651245117,0.017929664445576737,0.0012002944946289062,0.00040026003614060445,12,0.35,6,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 6}",0.7743142144638404,0.770573566084788,0.7930174563591023,0.784019975031211,0.797752808988764,0.7839321357285429,0.010436004858093683,7
6,0.14659934043884276,0.03958564370087628,0.0010005950927734375,6.106495129998063e-07,12,0.35,7,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 7}",0.7980049875311721,0.7955112219451371,0.786783042394015,0.8102372034956304,0.8277153558052435,0.8036427145708582,0.014176441148152275,4
7,0.14639978408813475,0.03671781049558932,0.0010004997253417968,7.325311420315369e-07,12,0.35,8,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 8}",0.8129675810473815,0.7855361596009975,0.7967581047381546,0.7890137328339576,0.7740324594257179,0.7916666666666666,0.012924845915323554,6
8,0.2227996826171875,0.0979845552203682,0.0014020442962646485,0.0004907398658627198,12,0.35,9,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 9}",0.8391521197007481,0.7980049875311721,0.8129675810473815,0.8064918851435705,0.8239700374531835,0.8161177644710579,0.014305324358640794,2
9,0.12879981994628906,0.016702493622282814,0.0010003089904785157,3.2340669551493016e-07,12,0.35,10,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 10}",0.8154613466334164,0.8079800498753117,0.814214463840399,0.8264669163545568,0.8214731585518102,0.8171157684630739,0.006340574095436964,1
10,0.19140052795410156,0.04737321796943183,0.0010004520416259765,5.091227651611e-07,12,0.35,11,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 11}",0.8104738154613467,0.8079800498753117,0.8042394014962594,0.8314606741573034,0.8214731585518102,0.8151197604790419,0.009981971835464646,3
