,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0074008464813233,0.9545343620891186,0.10260157585144043,0.04959371471278637,12,0.35,1,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 1}",0.7967581047381546,0.7793017456359103,0.7967581047381546,0.8027465667915106,0.8052434456928839,0.7961576846307385,0.009064832740175553,11
1,0.5834004402160644,0.17286247378276084,0.07959985733032227,0.009348974568536244,12,0.35,2,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 2}",0.7930174563591023,0.7718204488778054,0.8054862842892768,0.8077403245942572,0.818976279650437,0.7994011976047904,0.016070361196734412,8
2,0.567399263381958,0.11279429633011978,0.10160155296325683,0.024251224660436884,12,0.35,3,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 3}",0.8029925187032418,0.7768079800498753,0.7830423940149626,0.8127340823970037,0.818976279650437,0.7989021956087824,0.01643557713927415,9
3,0.5237975120544434,0.10843991649095007,0.09400377273559571,0.022639803988189783,12,0.35,4,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 4}",0.8042394014962594,0.7830423940149626,0.7992518703241895,0.8114856429463171,0.8252184769038702,0.8046407185628742,0.013898782844799545,7
4,0.5833008766174317,0.12076288225714783,0.10040469169616699,0.031844417984446614,12,0.35,5,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 5}",0.7980049875311721,0.7880299251870324,0.8029925187032418,0.8177278401997503,0.8177278401997503,0.8048902195608783,0.011530887329486473,6
5,0.6388004302978516,0.15255420758265853,0.0824014663696289,0.012597230413604407,12,0.35,6,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 6}",0.7930174563591023,0.7805486284289277,0.8179551122194514,0.7852684144818977,0.8177278401997503,0.7989021956087824,0.015967117513448176,9
6,0.7544006824493408,0.15479573813838682,0.08700337409973144,0.014210191444202396,12,0.35,7,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 7}",0.8029925187032418,0.8042394014962594,0.8117206982543641,0.8127340823970037,0.8314606741573034,0.812624750499002,0.010183628739006995,5
7,0.5065968990325928,0.062278019035703965,0.10520248413085938,0.041731656644880995,12,0.35,8,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 8}",0.8029925187032418,0.8117206982543641,0.8291770573566085,0.8102372034956304,0.8389513108614233,0.8186127744510978,0.013317225275932331,3
8,0.6448013305664062,0.17939228099050536,0.1030005931854248,0.015100841859512115,12,0.35,9,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 9}",0.8054862842892768,0.8154613466334164,0.8316708229426434,0.8102372034956304,0.8339575530586767,0.8193612774451098,0.011449954392325002,2
9,0.6020000457763672,0.019940643102829364,0.11080465316772461,0.051442831300412065,12,0.35,10,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 10}",0.8017456359102244,0.8017456359102244,0.8366583541147132,0.8127340823970037,0.8389513108614233,0.8183632734530938,0.016386936498297547,4
10,0.6996030807495117,0.15735026841488592,0.08299922943115234,0.002682573145415346,12,0.35,11,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'filter__n': 11}",0.8229426433915212,0.8216957605985037,0.8229426433915212,0.83645443196005,0.8489388264669163,0.8305888223552894,0.010648593344642803,1
