,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.4572004318237304,0.37766456195128173,0.005600070953369141,0.00080047914499962,8,0.05,1,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 1}",0.7687949143173024,0.7622996130458817,0.7660309563294638,0.7682100898410504,0.7741222007188278,0.7678912015921718,0.0038591589965037594,84
1,1.3125990867614745,0.18916348109808462,0.005800437927246094,0.0007471053247821833,8,0.05,2,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 2}",0.7882808181315644,0.7855168601437258,0.7806799336650083,0.7824464409122323,0.7967929223113077,0.7867429582331316,0.005658148832078672,83
2,1.4161995887756347,0.13745556104299037,0.005800724029541016,0.0007477558655288604,8,0.05,3,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 3}",0.7924267551133223,0.7841348811498066,0.779297954671089,0.7839668279198342,0.7977605750622062,0.7875169306465434,0.006642578269891441,81
3,1.259909439086914,0.14604150895067552,0.005400419235229492,0.0004899804484166948,8,0.05,4,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 4}",0.7900773908236595,0.7824765063571034,0.7834438916528469,0.7842432619212163,0.7965164500967653,0.787351079415098,0.0052935803858354166,82
4,1.3349221706390382,0.19556569601509116,0.005400657653808594,0.0004912448979535731,8,0.05,5,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 5}",0.7920121614151465,0.7906301824212272,0.78510226644555,0.7835521769177609,0.7972076306331214,0.789700638527241,0.004929503024450537,80
5,1.3574007034301758,0.22178376316789514,0.006199789047241211,0.0014684194704795799,8,0.05,6,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 6}",0.8116362631288004,0.8113598673300166,0.8178551686014373,0.8069108500345542,0.8078518108930053,0.8111230892556044,0.003849292356079249,79
6,1.4913999080657958,0.27958616156893734,0.006799745559692383,0.0013260148591672854,8,0.05,7,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 7}",0.8264234383637369,0.8177169707020453,0.8228302929795467,0.8142363510711818,0.8314901852363837,0.8225391823534289,0.0061231894942904075,78
7,1.3774003028869628,0.17556752278811066,0.00579991340637207,0.0003994233108860619,8,0.05,8,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 8}",0.8271144278606966,0.8161967938087341,0.8240740740740741,0.816309606081548,0.8341166712745369,0.8235619316140089,0.006798641519859236,77
8,1.2776003360748291,0.10898534449132634,0.005600166320800781,0.0008001094690829769,8,0.05,9,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 9}",0.8266998341625207,0.8196517412935324,0.8262852404643449,0.8186592950932965,0.8378490461708599,0.8258285651104292,0.0068554162022283925,59
9,1.3191998481750489,0.4087811195324907,0.005800104141235352,0.0003997572385361538,8,0.05,10,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 10}",0.828220011055832,0.8186843559977889,0.8250414593698175,0.8192121630960608,0.8292784075200442,0.8240871271802527,0.004424781714135741,76
10,1.2493999481201172,0.1556330909054205,0.0056002140045166016,0.0004895901459336855,8,0.05,11,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 11}",0.8284964068546158,0.8206191265892758,0.8254560530679934,0.8214236351071181,0.8292784075200442,0.8250545926970174,0.0035412858016012983,71
11,1.1788002014160157,0.11556328112269544,0.005599308013916016,0.0004897263728100592,8,0.05,12,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 12}",0.8296019900497512,0.8202045328911001,0.8266998341625207,0.8205943331029717,0.8372961017417749,0.8268789562429167,0.006324388732350235,39
12,1.3454007148742675,0.16481805537406963,0.005400323867797851,0.0007989885699466937,8,0.05,13,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 13}",0.8297401879491432,0.8210337202874516,0.8275290215588723,0.8200414651002074,0.8301078241636716,0.8256903557508914,0.0043101735013064465,60
13,1.3803998947143554,0.17906592850360906,0.006000137329101563,6.843900725558912e-07,8,0.05,14,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 14}",0.8305693753454948,0.8199281370923162,0.8264234383637369,0.821008984105045,0.8276195742327896,0.8251098764408326,0.0040373404551570236,70
14,1.3814003944396973,0.20292467908829254,0.006399965286254883,0.0007992507787463658,8,0.05,15,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 15}",0.8294637921503594,0.8204809286898839,0.8262852404643449,0.8199032480995162,0.8306607685927564,0.8253586532880006,0.004458097248289438,67
15,1.478200340270996,0.23749691717034535,0.00599966049194336,6.675720214843751e-07,8,0.05,16,"{'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 0.05, 'clf__n_components': 16}",0.8312603648424544,0.8207573244886678,0.8225538971807629,0.8176917760884589,0.8320431296654687,0.8248610995936645,0.005763469717094785,73
