,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08260025978088378,0.0027267289156168166,0.0006002902984619141,0.0004901350767699198,12,0.35,1,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 1}",0.743142144638404,0.743142144638404,0.743142144638404,0.7428214731585518,0.7428214731585518,0.7430139720558883,0.00015707667173403347,11
1,0.16320033073425294,0.02223105033474784,0.0009987831115722656,1.2006452857984707e-06,12,0.35,2,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 2}",0.7817955112219451,0.770573566084788,0.786783042394015,0.7890137328339576,0.7927590511860175,0.784181636726547,0.0076757769868687495,9
2,0.11320018768310547,0.01736004139589009,0.000599813461303711,0.0004897462206847007,12,0.35,3,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 3}",0.7618453865336658,0.7481296758104738,0.7456359102244389,0.7790262172284644,0.7615480649188514,0.7592315369261478,0.011932980444800031,10
3,0.12740106582641603,0.016305771978261198,0.001000213623046875,5.519789172549356e-07,12,0.35,4,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 4}",0.7942643391521197,0.7630922693266833,0.7880299251870324,0.8027465667915106,0.787765293383271,0.7871756487025948,0.013220611036220919,8
4,0.1409998893737793,0.024876236173850055,0.0010004997253417968,1.072618663711738e-06,12,0.35,5,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 5}",0.7892768079800498,0.7880299251870324,0.8104738154613467,0.8052434456928839,0.8089887640449438,0.8003992015968064,0.009752617105256621,7
5,0.13180127143859863,0.03433728319659915,0.0010001182556152344,5.7220458984375e-07,12,0.35,6,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 6}",0.8017456359102244,0.8017456359102244,0.8079800498753117,0.8214731585518102,0.8264669163545568,0.81187624750499,0.010249965584880161,1
6,0.22079920768737793,0.08927867714984916,0.0005998611450195312,0.0004897850923319708,12,0.35,7,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 7}",0.7980049875311721,0.7905236907730673,0.814214463840399,0.8114856429463171,0.8289637952559301,0.8086327345309381,0.01336752298261605,4
7,0.15040116310119628,0.02328719537745027,0.0008008956909179687,0.00040045289883351514,12,0.35,8,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 8}",0.8067331670822943,0.7892768079800498,0.8054862842892768,0.8164794007490637,0.8202247191011236,0.8076347305389222,0.010762635767949866,5
8,0.16820068359375,0.05440415420239997,0.0012001991271972656,0.00039947113681917636,12,0.35,9,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 9}",0.7955112219451371,0.786783042394015,0.800498753117207,0.8064918851435705,0.8164794007490637,0.8011477045908184,0.0100207532204848,6
9,0.1726001739501953,0.03641799391605366,0.0008000850677490235,0.00040004265820625033,12,0.35,10,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 10}",0.8067331670822943,0.7930174563591023,0.8092269326683291,0.8214731585518102,0.815230961298377,0.8091317365269461,0.009538700801476056,3
10,0.17020044326782227,0.02834387400054884,0.0008000850677490235,0.0004000435960215484,12,0.35,11,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'clf__n_components': 11}",0.8042394014962594,0.8092269326683291,0.8079800498753117,0.8014981273408239,0.8302122347066168,0.8106287425149701,0.010162293171158892,2
