Discount_Rate,Avg_Reward,Avg_Steps,Min_Steps,Avg_Time
0.5,-25.500000000000046,256.0,256.0,158.0
0.6,-25.500000000000046,256.0,256.0,180.0
0.7,-25.500000000000046,256.0,256.0,219.0
0.8,63.81499999999999,102.0,37.0,292.0
0.9,65.429,98.0,34.0,371.0
0.95,61.59699999999998,94.0,31.0,387.0
0.99,67.06499999999997,94.0,35.0,421.0
0.9999,67.16799999999998,96.0,38.0,434.0
