Discount_Rate,Avg_Reward,Avg_Steps,Min_Steps,Avg_Time
0.5,-25.5,256,256,530
0.6,-25.5,256,256,586
0.7,-25.5,256,256,786
0.8,80.1925,74,35,1525
0.9,85.245,67,31,3391
0.95,81.975,59,36,5226
0.99,82.3325,68,37,6916
0.9999,79.99,74,41,8912
