Discount_Rate,Avg_Reward,Avg_Steps,Min_Steps,Avg_Time
0.5,-6.299999999999994,64.0,64.0,40.0
0.6,-6.299999999999994,64.0,64.0,36.0
0.7,-6.299999999999994,64.0,64.0,41.0
0.8,-6.299999999999994,64.0,64.0,54.0
0.9,8.462,32.0,15.0,60.0
0.95,9.754000000000001,30.0,16.0,65.0
0.99,10.038000000000002,31.0,15.0,68.0
0.9999,9.900000000000004,31.0,16.0,70.0
