,Discount,Policy,Iteration,Time,Reward,Value Function
0,0.5,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0)",27,0.008037567138671875,4.987142438704349,"(0.6206896479724356, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.3103448206850214, 1.5475626735135266, 3.3700626735135266, 7.420062673513528, 16.420062673513527, 36.42006267351353)"
1,0.6,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0)",36,0.0020003318786621094,4.929438766919988,"(0.8766233644803993, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 1.5259740136801607, 2.110711827056006, 3.811323027056006, 6.960603027056005, 12.792603027056005, 23.592603027056004, 43.592603027056)"
2,0.7,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",49,0.0030002593994140625,4.903419028797126,"(1.2883435176725724, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 1.901840450278171, 2.372919348744181, 3.6233893929241807, 5.608262478924179, 8.758854678924179, 13.759794678924175, 21.697794678924176, 34.29779467892418, 54.29779467892418)"
3,0.8,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",70,0.003999948501586914,4.698708923358671,"(2.093022866117585, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 2.67441821489485, 3.2722249923432667, 4.312198948627846, 5.756607221245323, 7.762729822102921, 10.549011212182924, 14.418846476182924, 19.79361767618292, 27.258577676182927, 37.62657767618293, 52.026577676182946, 72.02657767618294)"
4,0.9,"(0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",113,0.005000114440917969,4.4200088964330835,"(4.475106140502946, 5.0275923283734345, 5.0275923283734345, 5.0275923283734345, 5.0275923283734345, 5.0275923283734345, 5.0275923283734345, 5.047437539693508, 5.7341743037520105, 6.581997469256336, 7.628692735311058, 8.920909113156391, 10.516237974693844, 12.485779779061065, 14.917312870872452, 17.919205576812434, 21.625245954516117, 26.200604445508322, 31.849195175128315, 38.82276397712833, 47.432108177128335, 58.060928177128346, 71.18292817712835, 87.38292817712835, 107.38292817712835)"
5,0.95,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",54,0.003000497817993164,4.191859411630082,"(8.62994894210909, 9.17476592196851, 9.811978763909353, 10.557256941617943, 11.428927324902839, 12.448424849212666, 13.640819614487308, 15.035433375042452, 16.666560580370103, 18.57431169771239, 20.805599554253075, 23.415292953715873, 26.46756593554367, 30.03747585581014, 34.212809095887835, 39.09623978603725, 44.80785462831723, 51.488105905837685, 59.301265294750486, 68.439463410438, 79.12741442293799, 91.627941922938, 106.24844192293801, 123.34844192293798, 143.34844192293798)"
6,0.99,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",29,0.0009982585906982422,4.315543637942694,"(12.616462007373741, 14.023212864734944, 15.602057822491643, 17.374049918739335, 19.36281770352911, 21.594880312720786, 24.100001086224342, 26.91158444593652, 30.067121325523726, 33.60868909161483, 37.5835126225813, 42.044594026584065, 47.051419395835225, 52.67075202125737, 58.977522644626795, 66.05582861922771, 74.0000553022815, 82.91613463230819, 92.92295767386456, 104.15395996517354, 116.75890080839358, 130.90586022839358, 146.78348022839359, 164.60348022839358, 184.60348022839358)"
