,WineBIC
1,105406.55997642601
2,55186.33752187245
3,39462.5767669413
4,38073.32322966814
5,33781.260858917
6,33173.38651874406
7,32765.49912488166
8,32462.155325077074
9,31638.92933539868
10,32222.9861885382
11,33182.09717873465
