,IncomeInertia
2,2975914.165558523
4,2873737.9189365753
6,2787383.8244384606
8,2695111.9392897403
10,2622672.327765408
12,2551346.9492093245
14,2455857.698671183
16,2421763.488166976
18,2328225.4863637094
20,2246396.4574297885
25,2076274.9954746875
30,1870247.7772839945
