,IncomeBIC
2,-907579.167093019
4,-6311114.198797575
6,-7201162.840989932
8,-9819975.12548054
10,-15004698.820326561
12,-13365726.849754987
14,-14993623.842567528
16,-15659669.77675209
18,-16066767.171304306
20,-10895124.831874238
25,-15011312.844099788
30,-15519980.185158642
