,WineInertia
1,48118.97270132993
2,34121.36707272631
3,27991.983811577036
4,24541.683312507375
5,22985.614671241132
6,21585.601074929407
7,20653.259840989016
8,19735.063735714746
9,18945.074758791812
10,18256.4881226042
11,17752.417398943107
