,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustGMM__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.13719897270202636,0.024028546879912453,0.012800359725952148,0.006614376541676236,12,0.35,2,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustGMM__n_clusters': 2}",0.7718204488778054,0.743142144638404,0.7955112219451371,0.815230961298377,0.7428214731585518,0.7737025948103793,0.028600871194666536,4
1,0.1717988967895508,0.037917486684167646,0.020600557327270508,0.00919899216782648,12,0.35,3,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustGMM__n_clusters': 3}",0.7930174563591023,0.7531172069825436,0.7955112219451371,0.7715355805243446,0.8039950062421972,0.783433133732535,0.0185542020805559,2
2,0.1769986629486084,0.035026836557159526,0.023999547958374022,0.005726913298434361,12,0.35,4,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustGMM__n_clusters': 4}",0.7905236907730673,0.7755610972568578,0.7955112219451371,0.7428214731585518,0.7465667915106118,0.7702095808383234,0.02186378083936418,6
3,0.16379923820495607,0.05156069545813108,0.03139948844909668,0.012753124848968426,12,0.35,5,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustGMM__n_clusters': 5}",0.7506234413965087,0.743142144638404,0.7443890274314214,0.7428214731585518,0.7965043695380774,0.7554890219560878,0.02069214702342351,7
4,0.17399950027465821,0.022127673481990816,0.042200994491577146,0.011822951423331318,12,0.35,6,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustGMM__n_clusters': 6}",0.8042394014962594,0.7880299251870324,0.8067331670822943,0.7428214731585518,0.7428214731585518,0.7769461077844312,0.02857676569869246,3
5,0.19560141563415528,0.021546723260698307,0.04119753837585449,0.008133605767239335,12,0.35,7,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustGMM__n_clusters': 7}",0.786783042394015,0.7743142144638404,0.7643391521197007,0.8064918851435705,0.8052434456928839,0.7874251497005988,0.01665020395728827,1
6,0.17979860305786133,0.03162396224306718,0.050200605392456056,0.007081301773267872,12,0.35,8,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustGMM__n_clusters': 8}",0.7830423940149626,0.743142144638404,0.7980049875311721,0.7927590511860175,0.7428214731585518,0.7719560878243513,0.02413768292450733,5
