,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustKM__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.16779875755310059,0.036493432847441554,0.034201526641845705,0.01863815482067156,12,0.35,2,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustKM__n_clusters': 2}",0.8104738154613467,0.7655860349127181,0.8216957605985037,0.7890137328339576,0.8314606741573034,0.8036427145708582,0.023701909120476466,4
1,0.1699986934661865,0.02132629691495537,0.02960057258605957,0.002938506391032776,12,0.35,3,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustKM__n_clusters': 3}",0.8204488778054863,0.814214463840399,0.8341645885286783,0.8064918851435705,0.7765293383270911,0.810379241516966,0.019195041076748617,1
2,0.19600014686584472,0.032230432302908375,0.042801952362060545,0.007934533928652478,12,0.35,4,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustKM__n_clusters': 4}",0.7817955112219451,0.7905236907730673,0.830423940149626,0.7865168539325843,0.8377028714107366,0.8053892215568862,0.0236828003737439,3
3,0.2666003704071045,0.024574148399217347,0.055799245834350586,0.01000826630256767,12,0.35,5,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustKM__n_clusters': 5}",0.800498753117207,0.8042394014962594,0.7880299251870324,0.8077403245942572,0.8377028714107366,0.8076347305389222,0.0164344108523531,2
4,0.2834000587463379,0.03886758195212837,0.06420035362243652,0.0122704648133911,12,0.35,6,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustKM__n_clusters': 6}",0.7817955112219451,0.8029925187032418,0.8154613466334164,0.7553058676654182,0.8414481897627965,0.7994011976047904,0.029293838769173956,6
5,0.2893991947174072,0.033967992997027664,0.07000117301940918,0.004774978355590309,12,0.35,7,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustKM__n_clusters': 7}",0.8129675810473815,0.7817955112219451,0.8216957605985037,0.7815230961298377,0.818976279650437,0.8033932135728543,0.01796748377663417,5
6,0.2989993095397949,0.033490221899308864,0.07739953994750977,0.00786325811023736,12,0.35,8,"{'NN__hidden_layer_sizes': 12, 'NN__learning_rate_init': 0.35, 'addClustKM__n_clusters': 8}",0.7605985037406484,0.800498753117207,0.8054862842892768,0.7890137328339576,0.7852684144818977,0.7881736526946108,0.01563181533451349,7
